,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4076,Mamamoo,Wind flower,2qwyjoSsSr3M7HTt611Q5O,62,0.735,0.795,0,-2.918,1,0.0518,0.656,0.0,0.0665,0.825,113.988,236816,4
4077,ARTY,Sunrise,7vLIj2GVAeYrohv8p0JjF0,57,0.427,0.695,0,-4.628,1,0.0435,0.0336,3.96e-06,0.117,0.226,128.118,198224,4
4078,Jay Park,Dank,46sgzGh1EoiaGqZDBikbDe,57,0.735,0.467,7,-7.621,1,0.031,0.584,0.0,0.11,0.366,145.601,198910,4
4079,Gucci Mane,Father's Day,3A3hHhvB7PlwyTnesoLk8d,52,0.824,0.617,1,-5.847,0,0.132,0.145,0.0,0.571,0.26,118.054,111459,4
4080,Luis Fonsi,Calypso,4178A5NkEjcsGc64jpBO6d,68,0.866,0.859,1,-3.087,0,0.0587,0.138,0.0,0.401,0.923,109.972,200347,4
4081,Excision,Vault,6CYumhM3ZVH9bItKm2PPur,51,0.42,0.962,1,-1.892,1,0.611,0.00781,0.0128,0.372,0.147,160.022,297742,4
4082,Louie Zong,"Hello, World",21AUdfi6fLFDp9JuNcHsfS,54,0.637,0.164,5,-16.608,1,0.0319,0.974,0.148,0.359,0.37,109.945,115375,4
4083,Kupla,Tiger,2L4hM22j0dG32WEny16taU,57,0.543,0.416,10,-10.723,1,0.0652,0.69,0.241,0.109,0.122,112.896,156324,3
4084,Lil Baby,Intro,3X8Nrq4TvSd54ymTiXYcD6,52,0.818,0.579,0,-7.699,1,0.207,0.00162,0.0,0.151,0.311,121.025,93338,4
4085,Walker McGuire,Best Kinda Bad,6Z5NEAPVf0kBvisGZHvo9x,52,0.436,0.905,2,-2.776,1,0.0429,0.00331,2.17e-06,0.0989,0.395,163.114,221600,4
4086,Chris Renzema,Adonai,7oYfxgLd9YYFa4CQTCN55E,52,0.386,0.302,11,-8.607,1,0.0296,0.732,0.0,0.113,0.157,155.063,247235,3
4087,KREAM,Decisions (feat. Maia Wright),40xLrjniJVkxuWbka7KavC,62,0.732,0.785,0,-5.081,1,0.047,0.0534,4.81e-05,0.388,0.256,121.987,212788,4
4088,TobyMac,Everything,452Q2BzTFo0st9C4oXgtmi,53,0.8,0.681,11,-4.486,0,0.0574,0.0287,0.0,0.101,0.72,112.495,200840,4
4089,Seven Lions,Ocean (feat. Jonathan Mendelsohn),5ZQMiwA8y8BEslhMmtLxLv,53,0.499,0.791,3,-3.735,1,0.0539,0.0685,1.89e-05,0.138,0.25,99.943,225675,4
4090,TOTO,Rosanna,65vEK65KeqeH11s3Ym8BWO,59,0.519,0.695,7,-7.219,0,0.0354,0.0184,0.000617,0.576,0.713,82.314,330987,4
